,Notes,plz,plz,plz,plz,plz
,Reference,plz,plz,plz,plz,plz
,Species included in the tree group,workflows,BES,workflwos,workflows,lawn2m
,Scientific name of tree group,,,,,
order,Common name of tree group,evergreen,deciduous,grass,nonveg,garden
1,stratum_default_ID,1,2,3,4,5
2,K_absorptance,0.8,0.8,0.65,0.8,0.65
3,K_reflectance,0.1,0.15,0.25,0.1,0.25
4,K_transmittance,0.1,0.05,0.1,0.1,0.1
5,PAR_absorptance,1,0.8,0.4,1,0.4
6,PAR_reflectance,0,0,0,0,0
7,PAR_transmittance,0,0.2,0.6,0,0.6
8,epc.alloc_crootc_stemc,0.3,0.22,0,0,0
9,epc.alloc_frootc_leafc,1.325,1.2,5,0,1
10,epc.alloc_livewoodc_woodc,0.073,0.16,0.6,0,0
11,epc.alloc_prop_day_growth,0.5,0.1,0,0,0
12,epc.alloc_stemc_leafc,1.62,2.2,0,0.73,0
13,epc.allocation_flag,waring,dickenson,dynamic,dynamic,dynamic
14,epc.daily_fire_turnover,0,0,0,0,0.01
15,epc.day_leafoff,260,275,245,366,285
16,epc.day_leafon,91,125,90,0,90
17,epc.deadwood_fcel,0.52,0.77,0.5,0.71,0.5
18,epc.deadwood_flig,0.48,0.23,0.5,0.29,0.5
19,epc.ext_coef,0.5,0.54,0.5,0.51,0.48
20,epc.flnr,0.1,0.1,0.1,0.07,0.088
21,epc.froot_cn,139.7,48,47.8,50,50
22,epc.froot_turnover,0.27,1,0.4,0.16,1
23,epc.frootlitr_fcel,0.41,0.44,0.41,0.38,0.44
24,epc.frootlitr_flab,0.23,0.34,0.08,0.42,0.34
25,epc.frootlitr_flig,0.36,0.22,0.51,0.2,0.22
26,epc.gl_c,0.00006,0.00006,0.083,0,0.00006
27,epc.gl_smax,0.006,0.006,0.083,0,0.004
28,epc.gr_perc,0.2,0.25,0.2,0.2,0.25
29,epc.height_to_stem_coef,11.39,11.39,0.02,11.2,0.02
30,epc.height_to_stem_exp,0.57,0.57,0,0.6,0
31,epc.kfrag_base,0.01,0.01,0.01,0.00002,0.01
32,epc.lai_ratio (allside_oneside),2.6,2,2,2.2,2
33,epc.leaf_cn,45,25,27.7,49,25
34,epc.leaf_turnover,0.27,1,0,0.25,1
35,epc.leaflitr_cn,70,55,50,96,45
36,epc.leaflitr_fcel,0.45,0.44,0.47,0.41,0.23
37,epc.leaflitr_flab,0.31,0.38,0.23,0.39,0.68
38,epc.leaflitr_flig,0.24,0.18,0.3,0.2,0.09
39,epc.livewood_cn,200,48,250,50,0
40,epc.livewood_turnover (0.7),0.7,0.7,0.2,0.007,0.2
41,epc.max_lai,12,20,2,0,2
42,epc.maxlgf,0.05,0.15,0.05,0.05,0.05
43,epc.ndays_expand,30,30,30,20,30
44,epc.ndays_litfall,30,30,30,20,50
45,epc.phenology.type,EVERGREEN,DECID,EVERGREEN,EVERGREEN,EVERGREEN
46,epc.phenology_flag,static,static,static,static,STATIC
47,epc.ppfd_coef,0.03,0.03,0.03,0.03,0.013
48,epc.proj_sla m2_kgC,9,32,17,0,32
49,epc.proj_swa,1.4,1.5,0,1.4,0
50,epc.psi_close,-2.5,-2.2,-2.3,-2.5,-2.7
51,epc.psi_open,-0.65,-0.34,-0.5,-0.65,-0.73
52,epc.storage_transfer_prop,1,1,0.9,1,1
53,epc.tcoef,0.2,0.2,0.2,0.2,0.2
54,epc.tmax,40,40,35,40,40
55,epc.topt,15,15,17.5,15,28
56,epc.veg.type,TREE,TREE,GRASS,NON_VEG,GRASS
57,epc.vpd_close (x1000),3500,3600,3000,3100,5000
58,epc.vpd_open (x1000),0,0,0,610,1000
59,gsurf_intercept,1000000,1000000,1000000,1000000,1000000
60,gsurf_slope,0,0,0,0,0
61,lai_stomatal_fraction,1,1,1,0,1
62,max_heat_capacity,0,0,0,0,0
63,min_heat_capacity,0,0,0,0,0
64,mortality,0.005,0.005,0,0.002,0
65,mrc.per_N,0.21,0.2,0.2,0.21,0.2
66,mrc.q10,1.5,2,1.5,2,1.5
67,specific_rain_capacity,0.00024,0.0005,0.001,0.001,0.00025
68,specific_snow_capacity,0.00024,0.001,0.0025,0.0025,0.0025
69,ustar_overu,-999.9,-999.9,-999.9,-999.9,-999.9
70,wind_attenuation_coef,0.4,0.4,0.4,0.4,0.4
