,placeholder,
,placeholder,
,placeholder,
,placeholder,
order,name,setting1
1,landuse_default_ID,11
2,detention_store_size (m/impFrac),0.001
3,fertilizer_NH4 (kg/m2/application),0
4,fertilizer_NO3 (kg/m2/application),0.004394185
5,fertilizer_freq (day),90
6,irrigation (mm/day),4
7,septic_NO3_load (kgN/year/capita),4.989516667
8,septic_water_load (m3/year/capita),121.5873333
9,numPPLinHouse,2.4
10,pondDepth (m/pondFrac),1.5
11,sewerDiamInch,8.5
12,sewerDensityMileAcre,0
13,sewerDepthft,11
14,MaxExf_gpimd,9061
15,MaxExf_Percent,0.491
16,emptyPercent,0.25
17,sewerNO3mgNL,2.5
18,sewerNH4mgNL,2.5
19,sewerDONmgNL,2.5
20,sewerDOCmgCL,2.5
