lulcCode,lulcComposition_forest,lulcComposition_shrub,lulcComposition_crop,lulcComposition_lawn,lulcComposition_imp,impBreakdownFrac_roof,impBreakdownFrac_driveway,impBreakdownFrac_pavedRoad
11,0,0,0,0,0,,,
12,0,0,0,0,1,,,
21,0.45,0,0,0.45,0.1,,,
22,0.325,0,0,0.325,0.35,,,
23,0.175,0,0,0.175,0.65,,,
24,0,0,0,0.1,0.9,,,
31,0,0,0,0,0,,,
41,1,0,0,0,0,,,
42,1,0,0,0,0,,,
43,1,0,0,0,0,,,
51,0,1,0,0,0,,,
52,0,1,0,0,0,,,
71,0,0,0,1,0,,,
72,0,0,0,1,0,,,
73,0,0,0,1,0,,,
74,0,0,0,1,0,,,
81,0,0,1,0,0,,,
82,0,0,1,0,0,,,
90,0.5,0.5,0,0,0,,,
95,0,0,0,1,0,,,
