date,rain,tmax,tmin,vpd,rh,kdownDirect
9/1/1983,0.001,25.6,13.9,256.58,88.8,13233.7
9/2/1983,0.0081,20.6,15,186.72,91.2,3564.7
9/3/1983,0.0061,22.2,16.7,203.78,90.7,5004
9/4/1983,0.0521,25.6,16.7,267.17,89.1,10217.1
9/5/1983,0.001,29.4,17.8,441.04,84,16727.3
9/6/1983,0,28.9,13.9,446.18,82.6,19501.2
9/7/1983,0,28.3,15.6,389.46,84.5,17610.1
9/8/1983,0,29.4,15,354.74,85.9,16041.1
9/9/1983,0.0124,29.4,15,348.07,86.4,16836.1
9/10/1983,0,30.6,17.2,356.08,86.4,16840.2
9/11/1983,0.0076,29.4,16.1,308.73,87.8,14580.9
9/12/1983,0,29.4,16.7,397.87,84.6,17275.4
9/13/1983,0.0064,23.9,16.1,251.77,88.9,8321.8
9/14/1983,0,21.7,16.1,244.88,88,7706.8
9/15/1983,0,21.1,10,288.26,82.6,16208.5
9/16/1983,0,21.7,7.8,278.97,84.7,17128.9
9/17/1983,0,26.7,12.8,348.29,83.6,18543.1
9/18/1983,0,28.3,8.9,323.77,83.9,19371.5
9/19/1983,0.0036,26.7,11.7,352.11,83.9,17342.3
9/20/1983,0.0254,21.7,16.7,231.84,89.8,5430.7
9/21/1983,0.0193,21.7,18.3,302.76,84.5,8836.4
9/22/1983,0,17.2,3.3,366.74,66.5,23530.3
9/23/1983,0,19.4,-0.6,207.35,80.1,18555.6
9/24/1983,0,18.3,0,212.9,80.1,21576.4
9/25/1983,0,20,0,242.94,79.8,20170.6
9/26/1983,0,22.2,6.7,289.36,80.4,18651.9
9/27/1983,0,23.3,5,262.53,81.8,19961.4
9/28/1983,0,24.4,4.4,270.91,81.1,18756.5
9/29/1983,0,23.3,7.2,269.6,83,15677.1
9/30/1983,0,22.2,6.1,232.7,84.4,12777.7
10/1/1983,0,22.2,10,258.72,83.9,12171
10/2/1983,0,24.4,5.6,248.27,83.6,17564.1
10/3/1983,0,26.7,3.9,274.57,82,19321.3
10/4/1983,0.0018,26.1,7.8,266.66,85.9,11631.3
10/5/1983,0.0305,25,15,265.44,86.7,8485
10/6/1983,0,23.3,7.8,315.07,79.1,19120.5
10/7/1983,0,22.2,3.3,269.76,79.6,17706.3
10/8/1983,0,21.1,3.9,228.48,83.3,15196
10/9/1983,0,23.9,6.7,270.3,81.7,16175
10/10/1983,0,21.7,8.9,297.7,82.2,10886.5
10/11/1983,0.0053,16.7,10,153.22,90.5,2811.6
10/12/1983,0.0452,20,14.4,226.78,88.7,6033.2
10/13/1983,0.0518,21.1,16.7,319.24,81.8,12765.1
10/14/1983,0,17.8,0.6,212.23,80,15183.4
10/15/1983,0,23.3,0,225.99,79.8,18392.5
10/16/1983,0,23.9,0.6,246.63,80.5,18066.1
10/17/1983,0,23.3,3.3,221.8,84.2,13547.5
10/18/1983,0,22.2,6.7,264.09,83.4,10497.4
10/19/1983,0,23.3,10,302.46,83.7,9832.2
10/20/1983,0,21.1,12.2,285.84,84.1,10154.4
10/21/1983,0,20,10,208.46,86.2,9589.5
10/22/1983,0.002,12.8,9.4,144.9,88.9,1451.9
10/23/1983,0.03,18.9,9.4,174.38,88.8,7254.9
10/24/1983,0,19.4,6.7,263.55,81.3,13196.1
10/25/1983,0,18.3,7.8,365.87,75.7,9334.3
10/26/1983,0,18.3,1.7,408.38,61.7,17338.1
10/27/1983,0,18.3,2.8,435.61,58.8,17296.3
10/28/1983,0,23.9,-2.2,275.95,70.3,17062
10/29/1983,0,25.6,0.6,345.24,72.6,13610.3
10/30/1983,0,17.2,5.6,342.64,72.5,13442.9
10/31/1983,0,19.4,3.3,280.05,79.1,11677.3
11/1/1983,0,21.1,9.4,283.64,80.8,12129.2
