Year,Month,Day,date,discharge (mm)
1936,11,1,11/1/1936,0.85
1936,11,2,11/2/1936,0.85
1936,11,3,11/3/1936,0.85
1936,11,4,11/4/1936,1.615
1936,11,5,11/5/1936,1.124
1936,11,6,11/6/1936,1.058
1936,11,7,11/7/1936,1.011
1936,11,8,11/8/1936,1.001
1936,11,9,11/9/1936,0.964
1936,11,10,11/10/1936,0.926
1936,11,11,11/11/1936,0.982
1936,11,12,11/12/1936,1.483
1936,11,13,11/13/1936,1.058
1936,11,14,11/14/1936,1.011
1936,11,15,11/15/1936,0.954
1936,11,16,11/16/1936,0.935
1936,11,17,11/17/1936,0.964
1936,11,18,11/18/1936,1.067
1936,11,19,11/19/1936,1.067
1936,11,20,11/20/1936,0.973
1936,11,21,11/21/1936,0.954
1936,11,22,11/22/1936,0.907
1936,11,23,11/23/1936,0.869
1936,11,24,11/24/1936,0.85
1936,11,25,11/25/1936,0.841
1936,11,26,11/26/1936,0.85
1936,11,27,11/27/1936,0.869
1936,11,28,11/28/1936,0.841
1936,11,29,11/29/1936,0.841
1936,11,30,11/30/1936,0.831
1936,12,1,12/1/1936,0.992
1936,12,2,12/2/1936,1.162
1936,12,3,12/3/1936,1.455
1936,12,4,12/4/1936,1.03
1936,12,5,12/5/1936,0.954
1936,12,6,12/6/1936,2.456
1936,12,7,12/7/1936,3.287
1936,12,8,12/8/1936,1.87
1936,12,9,12/9/1936,1.672
1936,12,10,12/10/1936,1.596
1936,12,11,12/11/1936,1.795
1936,12,12,12/12/1936,1.587
1936,12,13,12/13/1936,1.455
1936,12,14,12/14/1936,1.36
1936,12,15,12/15/1936,1.36
1936,12,16,12/16/1936,1.398
1936,12,17,12/17/1936,1.294
1936,12,18,12/18/1936,1.578
1936,12,19,12/19/1936,4.837
1936,12,20,12/20/1936,3.703
1936,12,21,12/21/1936,3.023
1936,12,22,12/22/1936,2.673
1936,12,23,12/23/1936,2.456
1936,12,24,12/24/1936,2.399
1936,12,25,12/25/1936,2.343
1936,12,26,12/26/1936,2.267
1936,12,27,12/27/1936,2.248
1936,12,28,12/28/1936,2.607
1936,12,29,12/29/1936,4.289
1936,12,30,12/30/1936,4.024
1936,12,31,12/31/1936,12.46
1937,1,1,1/1/1937,10.627
1937,1,2,1/2/1937,15.124
1937,1,3,1/3/1937,20.111
1937,1,4,1/4/1937,13.678
1937,1,5,1/5/1937,10.419
1937,1,6,1/6/1937,8.492
1937,1,7,1/7/1937,7.529
1937,1,8,1/8/1937,6.99
1937,1,9,1/9/1937,6.32
1937,1,10,1/10/1937,5.951
1937,1,11,1/11/1937,5.819
1937,1,12,1/12/1937,5.592
1937,1,13,1/13/1937,5.224
1937,1,14,1/14/1937,5.063
1937,1,15,1/15/1937,5.894
1937,1,16,1/16/1937,5.195
1937,1,17,1/17/1937,5.724
1937,1,18,1/18/1937,7.264
1937,1,19,1/19/1937,9.815
1937,1,20,1/20/1937,10.268
1937,1,21,1/21/1937,9.229
1937,1,22,1/22/1937,8.407
1937,1,23,1/23/1937,7.623
1937,1,24,1/24/1937,7.264
1937,1,25,1/25/1937,8.502
1937,1,26,1/26/1937,7.831
1937,1,27,1/27/1937,7.283
1937,1,28,1/28/1937,7.359
1937,1,29,1/29/1937,6.839
1937,1,30,1/30/1937,6.405
1937,1,31,1/31/1937,7.208
1937,2,1,2/1/1937,6.679
1937,2,2,2/2/1937,6.31
1937,2,3,2/3/1937,6.074
1937,2,4,2/4/1937,5.847
1937,2,5,2/5/1937,5.583
1937,2,6,2/6/1937,5.365
1937,2,7,2/7/1937,5.554
1937,2,8,2/8/1937,5.602
1937,2,9,2/9/1937,8.738
1937,2,10,2/10/1937,8.095
1937,2,11,2/11/1937,7.283
1937,2,12,2/12/1937,6.735
1937,2,13,2/13/1937,6.357
1937,2,14,2/14/1937,6.187
1937,2,15,2/15/1937,5.781
1937,2,16,2/16/1937,5.611
1937,2,17,2/17/1937,5.092
1937,2,18,2/18/1937,5.082
1937,2,19,2/19/1937,4.837
1937,2,20,2/20/1937,6.14
1937,2,21,2/21/1937,6.357
1937,2,22,2/22/1937,6.027
1937,2,23,2/23/1937,5.696
1937,2,24,2/24/1937,5.479
1937,2,25,2/25/1937,5.186
1937,2,26,2/26/1937,4.988
1937,2,27,2/27/1937,4.893
1937,2,28,2/28/1937,4.742
1937,3,1,3/1/1937,4.364
1937,3,2,3/2/1937,4.194
1937,3,3,3/3/1937,4.043
1937,3,4,3/4/1937,4.062
1937,3,5,3/5/1937,4.175
1937,3,6,3/6/1937,3.977
1937,3,7,3/7/1937,4.015
1937,3,8,3/8/1937,4.147
1937,3,9,3/9/1937,3.656
1937,3,10,3/10/1937,3.561
1937,3,11,3/11/1937,3.514
1937,3,12,3/12/1937,3.514
1937,3,13,3/13/1937,3.495
1937,3,14,3/14/1937,3.769
1937,3,15,3/15/1937,3.779
1937,3,16,3/16/1937,3.429
1937,3,17,3/17/1937,3.353
1937,3,18,3/18/1937,3.495
1937,3,19,3/19/1937,3.325
1937,3,20,3/20/1937,3.363
1937,3,21,3/21/1937,3.146
1937,3,22,3/22/1937,3.089
1937,3,23,3/23/1937,3.042
1937,3,24,3/24/1937,3.561
1937,3,25,3/25/1937,3.514
1937,3,26,3/26/1937,3.07
1937,3,27,3/27/1937,2.994
1937,3,28,3/28/1937,2.957
1937,3,29,3/29/1937,2.891
1937,3,30,3/30/1937,2.777
1937,3,31,3/31/1937,2.73
1937,4,1,4/1/1937,2.645
1937,4,2,4/2/1937,2.636
1937,4,3,4/3/1937,2.626
1937,4,4,4/4/1937,3.268
1937,4,5,4/5/1937,4.563
1937,4,6,4/6/1937,3.845
1937,4,7,4/7/1937,3.571
1937,4,8,4/8/1937,4.478
1937,4,9,4/9/1937,3.92
1937,4,10,4/10/1937,3.722
1937,4,11,4/11/1937,3.495
1937,4,12,4/12/1937,3.297
1937,4,13,4/13/1937,3.146
1937,4,14,4/14/1937,2.976
