,note,,,,,White et al,Brian incorrect,Brian,,,,,,,,,,,,,,,,,,,,mostly Tony,Tony,Taehee,White,White
,xylem,,NA,,,,,,,,,,,,,,,,,,,,,,,,,diffuse,ring,ring,,
,location,default,default,default,default,default,BES,BES,default,default,cwt,cwt,cwt,cwt,cwt,cwt,WSC,WSC,WSC,WSC,WSC,WSC,WSC,WSC,WSC,WSC,WSC,NYC,NYC,NYC,NYC,NYC
,Scientific name of tree group,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,Liquidambar styraciflua,Liriodendron tulipifera,pinus taeda,pinus virginiana,Fraxinus pennsylvanica,Cornus florida,Celtis occidentalis,Quercus pagoda,Quercus alba,Acer saccharum,Quercus rubra,Quercus Spp,Picea rubens,Abies balsamea
order,Common name of tree group,evergreen,deciduous,grass,nonveg,shrub,garden,deciduousBES,crop,evergreenBGC,eastern.hemlock.bgc,cwt rhododendron.bgc,Tulip.poplar.bgc,chestnut.oak.bgc,red.maple.bgc,eastern.white.pine,localevergreen,localdeciduous,sweet gum,Tulip poplar,lobolly pine,virginia pine,green ash,nonstocked,hackberry,cherrybark oak,white oak,sugar maple,red oak,Oak Spp,red spruce,Balsam Fir
1,stratum_default_ID,1,2,3,4,6,5,102,7,101,801,802,804,805,806,807,401,402,411,412,413,414,415,416,417,418,419,305,306,304,307,308
2,K_absorptance,0.8,0.8,0.65,0.8,0.5,0.65,0.8,0.65,0.8,0.8,0.5,0.5,0.5,0.5,0.8,0.8,0.714285714,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.5,0.73,0.8,0.8
3,K_reflectance,0.1,0.15,0.25,0.1,0.31,0.25,0.15,0.25,0.1,0.1,0.31,0.31,0.31,0.3,0.1,0.1,0.194285714,0.15,0.15,0.1,0.1,0.15,0.15,0.15,0.15,0.31,0.3,0.31,0.17,0.1,0.1
4,K_transmittance,0.1,0.05,0.1,0.1,0.22,0.1,0.05,0.1,0.1,0.1,0.22,0.22,0.22,0.2,0.1,0.1,0.095714286,0.05,0.05,0.1,0.1,0.05,0.05,0.05,0.05,0.22,0.2,0.22,0.1,0.1,0.1
5,PAR_absorptance,1,0.8,0.4,1,1,0.4,0.8,0.4,1,1,1,0.8,0.8,0.8,1,1,0.778571429,0.8,0.8,1,1,0.8,0.8,0.8,0.8,0.8,0.65,0.8,0.7,1,1
6,PAR_reflectance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047142857,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0
7,PAR_transmittance,0,0.2,0.6,0,0,0.6,0.2,0.6,0,0,0,0.2,0.2,0.2,0,0,0.174285714,0.2,0.2,0,0,0.2,0.2,0.2,0.2,0.2,0.03,0.2,0.3,0,0
8,epc.alloc_crootc_stemc,0.3,0.22,0,0,0.29,0,0.22,0,0.3,0.29,0.29,0.563,0.22,0.22,0.29,0.317166667,0.269,0.22,0.563,0.317166667,0.29,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.29,0.29
9,epc.alloc_frootc_leafc,1.325,1.2,1,0,1.4,1,1.2,1,1,1.4,1.4,1.2,1.21,1.2,0.994,1.76,1.21,1.2,1.2,1.76,1.4,1.2,1.2,1.2,1.2,1.27,1.55,1.2,1.2,1.4,1.4
10,epc.alloc_livewoodc_woodc,0.073,0.16,0,0,1,0,0.16,0,0.1,0.071,1,0.142,0.16,0.16,0.076,0.076,0.174428571,0.16,0.142,0.076,0.071,0.16,0.16,0.16,0.16,0.279,0.179,0.16,0.16,0.071,0.056
11,epc.alloc_prop_day_growth,0.5,0.1,0,0,0.5,0,0.1,0,0.3,0.5,0.5,0.2,0.3,0.1,0.5,0.5,0.114285714,0.1,0.2,0.5,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.2,0.5,0.5
